wavelength_nm,VIP_Cab_ugcm2,VIP_N_relativo,VIP_H2O_relativo,VIP_Efic_fotosin,VIP_Biomasa_rel,VIP_Estres_car
376.44,1.201221942371898,1.2009811406313489,1.3466471747307274,1.844557725651751,0.6170462686507869,1.7545515902859792
381.41,1.1884877238248674,1.1878817389536893,1.3405990812461843,1.8548158461046484,0.6169318839585728,1.7536444519180379
386.38,1.1740530387366623,1.1728721150948695,1.3199403728041152,1.8334249107276825,0.627955736739094,1.7319193822858718
391.35,1.1763129480060583,1.1759182418161214,1.3193098720186431,1.8372964056711487,0.6312332145887889,1.7356949908378392
396.32,1.1585729670629654,1.157979040393882,1.3064911986355918,1.797237714447327,0.6554894624952556,1.7000534753284884
401.29,1.1711084831449716,1.1738925234472692,1.3058139665058697,1.7982873548482405,0.6655399739429492,1.7085998610071544
406.26,1.151037347710231,1.1516161068808428,1.2922369648261798,1.7854136725251066,0.6809359439600946,1.6878429264552393
411.23,1.1429133232000614,1.1391258518430376,1.2630704707686289,1.7563828818640383,0.7059544767613627,1.6577733074860284
416.21,1.1441451428917804,1.1361770239572406,1.2396077347997767,1.7636650265636282,0.7084361648657912,1.654311331890887
421.18,1.1444165371402992,1.1291705584924845,1.2120416546368837,1.7712304526028024,0.7078618472230809,1.6461999881990474
426.16,1.1362703874689288,1.114605067657839,1.1978751546002016,1.7678567989314422,0.7044363101623402,1.6333230522441644
431.14,1.1481287603905928,1.1169080952057875,1.162772490683706,1.769173592960453,0.7012984113250884,1.6150969439030456
436.12,1.1404139676844998,1.0978751832909768,1.1320266814905129,1.7818880696516666,0.6826376450459519,1.594219643832656
441.1,1.1392866651618063,1.0857157472756858,1.0938355018498414,1.7600262544250174,0.6925936606931107,1.5586253706730957
446.08,1.1395303440277158,1.0864663644562327,1.0922744199121504,1.7526652865029653,0.698215002762982,1.551303088511341
451.06,1.1435449708267844,1.077904041873536,1.0514344169480638,1.7341504496272544,0.7020485963524976,1.5132385047099433
456.04,1.1331173962921341,1.0544717171322189,1.0139353954803705,1.715610058840282,0.7111411669773228,1.471991676130052
461.02,1.119036694723874,1.0339549276754236,1.000661362411679,1.6939063331321336,0.7306352779827768,1.4412040161147943
466.01,1.134659314026012,1.041651005222015,0.9856640624946844,1.67224532172645,0.7470219630599824,1.4117118291570907
470.99,1.1227281046952624,1.0203821020956614,0.972630184865587,1.6500096384516145,0.7679476971350339,1.3845069404708237
475.98,1.1231434987674187,1.013636060628541,0.9550956505462306,1.6183062590878519,0.7987515557905431,1.3499513652656296
480.96,1.1066018156937143,0.9822129002980413,0.9312546299554819,1.5877364758333596,0.8279002186089806,1.3063667012378173
485.95,1.1052663393218658,0.9727325860536441,0.9133556475817957,1.5564338423844868,0.8629220081962597,1.2725655854075995
490.93,1.1026548552760589,0.959935043564947,0.909697746821079,1.5000874925114365,0.9133002929727239,1.217998090788119
495.92,1.0872028561844862,0.9310044533313091,0.9173533979700805,1.4562772303276557,0.9709756775964592,1.164320114757317
500.91,1.063198954822037,0.8801221646005132,0.9044262775326922,1.3809347047317102,1.0654526672149731,1.0910210212298965
505.9,1.0361662204055566,0.826433873908605,0.9654692703958572,1.3115894230541703,1.1514829700461133,1.0214845377807553
510.89,1.0367586364214618,0.8181623288112436,1.0346401214981717,1.2126976868744768,1.2453593644031178,0.9629589654748977
515.88,1.0589099326372022,0.8609800251042735,1.1134755562689573,1.1216012026437592,1.2809216386151596,0.9155243225283138
520.87,1.0970733915546764,0.9555388601431679,1.1798629630350541,1.0087308806184339,1.2206327454731445,0.880330523134716
525.87,1.1474764655998773,1.085307398078568,1.1412270843815473,0.8905873691336446,1.0636014559305569,0.8382162257295006
530.86,1.173911395623464,1.1688607593091493,1.1153055305241264,0.8112920343432211,0.9185978704733813,0.8083367230400265
535.85,1.1876970847085548,1.2130079842536938,1.0762495801541885,0.751159359407865,0.8261294101040475,0.7837217160098621
540.85,1.1982739470863486,1.2372628592041113,1.0817902562850772,0.715540279232126,0.7987885989407748,0.7889786994126368
545.84,1.2180399235536001,1.2718364142642913,1.1026704697387724,0.6827135435967754,0.7821172101283409,0.8052750119340559
550.84,1.227031088571086,1.286077977541738,1.1217910871898351,0.6630605502752386,0.7806357328511568,0.8234542577440668
555.83,1.243131389580813,1.3006959167835328,1.157856228640556,0.6484851987422816,0.8173350271885594,0.852431883500979
560.83,1.2527759298892371,1.3011001891340779,1.219213295901101,0.6446311066234834,0.9107062277293935,0.9097671124394504
565.83,1.2670994558729003,1.3018782367158106,1.303530522208756,0.6549593210057931,1.0312536116631457,0.99449017963095
570.83,1.272063823902972,1.2879230674292983,1.4148059624309386,0.6930859358368947,1.2018599415587565,1.1100912434702515
575.82,1.2651383014662783,1.256836331423938,1.5070036039321224,0.7454971208697315,1.3719934980613187,1.2166683800915337
580.82,1.2551768456081887,1.2291938312589143,1.5692633038468007,0.794124107129578,1.502059949748371,1.298326056443193
585.82,1.2384419202647026,1.1975060935896795,1.6050506796912964,0.829544776622859,1.5896043247690028,1.3524538584860697
590.82,1.2220054215329106,1.1658359341557671,1.6155863484844806,0.8547440068291187,1.652993966684393,1.3832644820991786
