id_lote,re_slope_max,re_slope_wl_nm,re_area_680_760,re_contrast_750_680,re_curvature_mean,re_curvature_min,re_reflectance_705,re_reflectance_720,re_reflectance_740,cab_reference
A32,0.009336016307780054,735.98,11.802974271124988,0.34834206702994014,3.636134839316885e-05,-0.00040166401739989406,0.05525684020958095,0.1233378792015965,0.29765033935999985,39.72501628398895
A33,0.010099779441117788,730.97,13.676224527509989,0.4072669513333333,3.660625401485624e-05,-0.0004385110704733675,0.06048701475049917,0.15207542656686587,0.34819515007999985,40.296415734291074
A34,0.009552240930785789,735.98,12.197001262999988,0.3673339310299401,3.6426228882607765e-05,-0.0004153652134285086,0.05407262698403206,0.12956555264471026,0.3112186805999998,40.60559105873108
A35,0.012605019960079865,720.95,20.008727524774983,0.5322131603992015,2.2538629941629652e-05,-0.0004544400420721639,0.1071066513972059,0.2645605702195603,0.4895182533999998,22.33182019591331
A36,0.012423656686626771,720.95,19.919162014359983,0.5235364127884231,2.08030936094466e-05,-0.000445929212762838,0.10845250938722586,0.2637574616766461,0.48441463351999986,21.907481563091277
A37,0.012649592814371283,725.96,18.470994675094982,0.5214606486926148,3.008333593320975e-05,-0.0005006473267028052,0.08569765277844338,0.22825626670658627,0.46540202103999984,28.657467174530023
A38,0.010750058882235548,725.96,14.694958681314986,0.4426452274610778,3.359019674678169e-05,-0.00046352008925928977,0.06128020354491037,0.16924798423153647,0.3790646423199998,39.37406903505325
A39,0.010378883233532955,720.95,17.98814358837499,0.4387584379860279,1.6944394487599927e-05,-0.0003519813760116586,0.11022290152495037,0.24330961373253443,0.4220587491599999,18.259009152650837
A40,0.012598410179640737,720.95,19.990796132109985,0.5332589472095809,2.2117651961263234e-05,-0.00046007808217877463,0.10654183664670691,0.26388275489021895,0.4896303108399998,22.49623553156853
A41,0.009007747707769284,735.98,11.407673611189988,0.34232385827944106,3.5089686037847836e-05,-0.0003880758319063582,0.05178576655888235,0.12027940227544881,0.2900056598799998,40.08542189002037
A42,0.012770690618762497,725.96,19.865470237339984,0.5329085437964072,3.029293249518121e-05,-0.0004897620930481993,0.10050271423153723,0.2528106536327339,0.4907815382799998,25.10276181697845
A43,0.011003872255489044,725.96,16.049787001689985,0.4411355981796407,2.9061784443676884e-05,-0.00042335343546263005,0.07473047097405211,0.19695005964071807,0.4029481095599998,28.94753097295761
A44,0.01094893413173655,725.96,15.458834004924988,0.4365831523113773,3.3921764847407674e-05,-0.00041408886125305917,0.06837574184630758,0.1830840981636722,0.3921717276799998,32.25821831226349
A45,0.010103893675928875,735.98,11.549236622714988,0.3562142365808383,4.345101275558377e-05,-0.00042578251865085445,0.04904912200399212,0.11444019623752466,0.29641573543999983,45.27165094614029
A46,0.01325765069860282,725.96,18.818092169434983,0.5366981555768462,3.762279665335255e-05,-0.0005143834250972578,0.08222436767465097,0.22793533353293355,0.4793915896799998,30.779391068220136
