id_lote,u_blue_445,u_red_670,u_rededge_705,u_rededge_750,u_nir_900,u_wbi_970,u_swir_1240,u_swir_1750,u_swir_2000,u_swir_2200,unc_visible_mean,unc_rededge_mean,unc_nir_mean,unc_swir_mean,su_rededge_proxy,su_swir_proxy,uncertainty_score,uncertainty_class
A1,0.0017566365422680974,0.0005930630140937865,0.0012143319472670555,0.002381865633651614,0.0019750576466321945,0.00230591231957078,0.0016518000047653913,0.0019876949954777956,0.0008196235867217183,0.0008982421713881195,0.001174849778180942,0.0018612975254654884,0.002140484983101487,0.0011232219209584098,66.8258956561519,91.5732697491884,0.0015444634133018552,MEDIO
A2,0.0017810200806707144,0.0006466341437771916,0.001351377461105585,0.002368858316913247,0.0019458503229543567,0.00228573614731431,0.0016544440295547247,0.002230835147202015,0.0008458610391244292,0.0010805862257257104,0.001213827112223953,0.001983690308406949,0.0021157932351343334,0.0011936304314682882,69.67117530802429,92.35117631098703,0.0016125151450978592,BAJO
A3,0.0016121893422678113,0.000577593978960067,0.0010054251179099083,0.0018439104314893484,0.0015670658322051167,0.0018402643036097288,0.0013316294644027948,0.0017600938444957137,0.000721427786629647,0.0008395572076551616,0.0010948916606139392,0.0015364764646316569,0.0017036650679074228,0.0009642048195625345,62.26097685935194,91.13193055109888,0.0013015563007987415,ALTO
A4,0.0017865807749330997,0.00061850156635046,0.0013399709714576602,0.002449195133522153,0.002006695605814457,0.00234597478993237,0.0016893467400223017,0.0021590932738035917,0.0008413716568611562,0.0010055662132799625,0.00120254117064178,0.001982753126261135,0.0021763351978734136,0.0011787615367211401,69.18895407050947,92.02075816298135,0.0016145505690171073,BAJO
A5,0.0017007299466058612,0.0006031205412000418,0.0011832875898107886,0.0021205029916018248,0.0017611969960853457,0.0020610098727047443,0.0014904647832736373,0.0019330554641783237,0.000773969164583832,0.0009124910575337708,0.0011519252439029515,0.0017456153485303123,0.001911103434395045,0.00105897500179708,66.0992684056686,91.45526513650586,0.0014457084364645802,MEDIO
A6,0.0015957760624587536,0.0005527003668248653,0.0008952207863330841,0.0017498814268037677,0.0015114935813471675,0.001770153408870101,0.0012770368484780192,0.0016603266121819615,0.0007008764077909291,0.000779320893343538,0.0010742382146418095,0.0014351429417729378,0.0016408234951086342,0.0009190780498708288,56.562460091448266,90.54428742934853,0.0012389946117764338,ALTO
A7,0.0016007384983822703,0.0005874123307876289,0.0009652256849221885,0.0018481306033208966,0.0015761434333398938,0.0018218676559627056,0.0013020632322877645,0.0016133274184539914,0.0007148580043576658,0.0007560339290648699,0.0010940754145849496,0.0014755612355656922,0.0016990055446512997,0.0009243183885701001,62.203633759331794,90.60186935896202,0.001267407863633707,ALTO
A8,0.0017175867687910795,0.0005695477011613548,0.00128401187248528,0.0023835552856326103,0.0019525921670719981,0.0022881992626935244,0.0016433512791991234,0.002087993547320366,0.0008210293017327785,0.0009333919733762741,0.0011435672349762172,0.0019185202351460855,0.0021203957148827612,0.0011325908514360588,71.06675253974032,92.37213412250412,0.001558032141959605,MEDIO
A9,0.0017884360859170556,0.000598195823840797,0.0013067369582131505,0.0025166256818920374,0.00206178892403841,0.0024008452892303467,0.0017187620978802443,0.002108104294165969,0.0008378252387046814,0.0009302252437919378,0.0011933159548789263,0.0019771556447570524,0.0022313171066343784,0.001162270860125621,69.72954995058547,91.96211047836191,0.0016140464906735966,BAJO
A10,0.0014379234053194523,0.0005359412753023207,0.0007931619184091687,0.0013139968505129218,0.001154740690253675,0.001369512639939785,0.0009936552960425615,0.0014334105653688312,0.0006070774397812784,0.000727888778783381,0.0009869323403108865,0.001180189778096974,0.00126212666509673,0.0007762071715357403,54.53049244566458,90.30042273107871,0.0010326340416213498,ALTO
A11,0.0017186228651553392,0.0005690158577635884,0.0012751134345307946,0.0023350133560597897,0.0019046772504225373,0.0022345660254359245,0.0016069951234385371,0.0020489490125328302,0.0008151510264724493,0.0009266102570109069,0.0011438193614594638,0.0018863586010411382,0.002069621637929231,0.0011162521356406312,69.9677515615144,91.7673591923934,0.001534308269037865,MEDIO
A12,0.001771160401403904,0.0006326449220068753,0.0013422302436083555,0.002297010738402605,0.001855433452874422,0.0021695191971957684,0.0015613822033628821,0.0019995549228042364,0.0008037587394937873,0.0009154942817986012,0.0012019026617053896,0.001879598634938399,0.002012476325035095,0.0010935450748850901,69.22563430712849,91.57877981325537,0.0015281750257903088,MEDIO
A13,0.0017612162046134472,0.0006315685459412634,0.001313715591095388,0.0022875843569636345,0.0018645233940333128,0.002183908596634865,0.0015764679992571473,0.002042819280177355,0.0008588277851231396,0.0009534474229440093,0.0011963923752773553,0.0018813730760787923,0.002024215995334089,0.0011295810691080987,70.6057921735246,91.87730986350644,0.0015402657717155912,MEDIO
A14,0.001652347855269909,0.0005473658093251288,0.0011540045961737633,0.00213984795846045,0.0017538649262860417,0.0020691598765552044,0.0014923026319593191,0.001952361548319459,0.0007796664722263813,0.0008763422374613583,0.0010998568322975188,0.0017487380343178909,0.001911512401420623,0.0010494371138823528,68.93433549897382,92.3133884475119,0.001433587672848565,MEDIO
A15,0.0016989526338875294,0.0005628096987493336,0.0013154870830476284,0.0023400974459946156,0.001907199271954596,0.002236330648884177,0.0016086115501821041,0.0020536163356155157,0.0008120023994706571,0.0009360184776596725,0.0011308811663184315,0.0019030669548859198,0.0020717649604193866,0.0011188774757708113,72.95577070787948,92.636558592129,0.0015386776542679096,MEDIO
A16,0.001671074889600277,0.0005894429050385952,0.0012909977231174707,0.002204291522502899,0.0018127795774489641,0.0021387708839029074,0.0015447119949385524,0.002054791199043393,0.000804792856797576,0.0009694634354673326,0.001130258897319436,0.001850026814887921,0.0019757752306759357,0.0011063227624011536,74.52123135250947,93.02110116540534,0.001501824277996396,MEDIO
A17,0.0015100783202797174,0.000527430500369519,0.0008523326250724494,0.0016874891007319093,0.0014591452199965715,0.0017125597223639488,0.0012305285781621933,0.001621933188289404,0.0006935564451850951,0.0007747823256067932,0.0010187544103246182,0.0013872516380312543,0.0015858524711802602,0.0008996224496513605,62.993157155560226,91.83071231009538,0.0011970535609483097,ALTO
A18,0.0014800832141190767,0.0005631250678561628,0.0009501671302132308,0.001588677754625678,0.001364530180580914,0.0016183299012482166,0.001183142769150436,0.0017539763357490301,0.000690124579705298,0.0008902115514501929,0.0010216041409876198,0.0014309404068626463,0.0014914300409145653,0.0009211596334353089,68.85390150816755,92.88208551025207,0.0012052123667672275,ALTO
A19,0.0014910597819834948,0.0005666246288456023,0.0009524382185190916,0.0015726021956652403,0.0013466578675433993,0.0015990639803931117,0.001171586336567998,0.0017412267625331879,0.0006832186481915414,0.0008770470740273595,0.0010288422054145485,0.00142208905890584,0.0014728609239682555,0.0009106173529289663,66.97452785880762,92.40442052815813,0.001197613956173882,ALTO
A20,0.0015441150171682239,0.0005706568481400609,0.0009398033726029098,0.0016048542456701398,0.0013791267992928624,0.0016240840777754784,0.0011823339154943824,0.0016298429109156132,0.000677138683386147,0.0007805326022207737,0.0010573859326541424,0.001391500176396221,0.0015016054385341704,0.0008800017337004343,60.99414800059478,90.80488616958665,0.0011877435841597616,ALTO
A21,0.0015282542444765568,0.0005298355245031416,0.0008236567955464125,0.0015968525549396873,0.001397234620526433,0.00164845772087574,0.0011897595832124352,0.0015950133092701435,0.0006799533730372787,0.0007601468241773546,0.0010290448844898492,0.0013385075532520811,0.0015228461707010865,0.0008766199268090228,57.226274650876704,90.56150137461667,0.001165699524184068,ALTO
A22,0.0014610413927584887,0.0005316220340318978,0.0008572267834097147,0.001384227187372744,0.001214612158946693,0.001452737022191286,0.0010687577305361629,0.0015209321863949299,0.0006291887257248163,0.0007424619980156422,0.0009963317133951932,0.0012541287190591295,0.0013336745905689895,0.0008134694847588738,59.16823410282773,90.3918013109242,0.0010823034283627445,ALTO
A23,0.0015383614227175713,0.0005246803048066795,0.0007839947938919067,0.0015858084661886096,0.0014000356895849109,0.0016309685306623578,0.0011668645311146975,0.0014688776573166251,0.0006713794427923858,0.0006917778518982232,0.0010315208637621254,0.0012795603057990472,0.0015155021101236343,0.0008433406086017688,52.391557086874194,89.6802326210378,0.0011344777788811675,ALTO
