id_lote,d1_680.89,d1_685.89,d1_690.90,d1_695.91,d1_700.91,d1_705.92,d1_710.93,d1_715.94,d1_720.95,d1_725.96,d1_730.97,d1_735.98,d1_740.98,d1_745.99,d1_751.00,d1_756.02
A1,0.0005425692,0.0007354570813800974,0.0015044584830339349,0.0030861346543181382,0.005119749043920556,0.006955018063872269,0.008401094810379149,0.010529738023952028,0.012355045908183655,0.013003617764471079,0.0124588403193613,0.011557591292101127,0.009921716189160143,0.007025579840319374,0.004722787028327437,0.0037220956175298926
A2,0.0006539839999999998,0.0008997706644333721,0.0017815753493014008,0.0034769989798237705,0.005589533750442377,0.0073585638722555025,0.008650620159680543,0.010623457085828271,0.012191559880239542,0.012528718562874273,0.011747534930139743,0.010667642220474158,0.00902844010522412,0.0063097455089820495,0.004178090036318055,0.003257519920318742
A3,0.0005193048000000002,0.0007153816724289695,0.0012558504990019983,0.0022137834574431567,0.003395731648972189,0.004412276846307394,0.005297654291417106,0.006814488023952054,0.008374533333333349,0.009440816367265485,0.009728493013972075,0.009570548653964811,0.0086465903767131,0.006447988023952106,0.004400098194323687,0.003484942231075702
A4,0.0006247114000000002,0.0008651681374741036,0.0017943872255489054,0.0035980428792580688,0.005813827693246479,0.0076656532934131875,0.009012392215568764,0.011070141716566794,0.012736387225548925,0.013170861277445128,0.012427029940119783,0.01131724657337873,0.009598200150739478,0.006722007984031948,0.004440443894553121,0.003450344621513958
A5,0.0005682520000000003,0.0008135220473179526,0.001568085828343316,0.0029483218043736717,0.004616604619363076,0.00600443512974053,0.007062975648702517,0.008766029940119706,0.01033897604790421,0.011073365269461101,0.010904682634730566,0.010315605860937476,0.008983198747093225,0.006470713572854302,0.004313706383850424,0.003359003984063756
A6,0.0005355725999999998,0.0007197416519061786,0.0011390423153692635,0.0018261811670441342,0.002673494233219478,0.0034287642714570924,0.0042211237524949615,0.00571305638722552,0.0074851836327345465,0.00897153093812377,0.009696612774451115,0.009930610522004949,0.009250683662437365,0.0070868552894211775,0.0048997167057804394,0.003911804780876506
A7,0.0005512553999999995,0.0007739711519127584,0.0012443313373253515,0.0019769346050556246,0.002888689317409141,0.0036590528942115836,0.004469735029940067,0.006088635728542881,0.007922725548902207,0.009464920159680658,0.01023783033932138,0.010543815578876226,0.009901213669807243,0.007581353293413189,0.00523242692632872,0.004165760956175309
A8,0.0005405326000000002,0.0008006993468260293,0.0017480772455089851,0.003545826873063066,0.005778984533765641,0.007614443113772467,0.008931634331337226,0.011022028942115696,0.012617685628742537,0.012882285429141743,0.012038056886227569,0.01091237005352333,0.009188644677103334,0.006374243512974068,0.004228323429307318,0.003298197211155393
A9,0.000557697,0.0008001598295855853,0.001683069261477049,0.0034827960192426346,0.005798127294753556,0.007739656087824365,0.009187465069860177,0.01140944810379234,0.013201848303393236,0.013723133732534955,0.013025780439121781,0.012035393338733137,0.010297422726511005,0.00719713672654692,0.00477125514622407,0.0037107430278884514
A10,0.0004633094000000001,0.0006117611384810807,0.0009351207584830357,0.0014051744212422316,0.0019967167112875162,0.0025097761477045955,0.0030394630738522603,0.004098056886227523,0.0052450000000000075,0.0062239540918163794,0.006732951097804406,0.006911698699807185,0.006545729339825845,0.005108220558882243,0.0036067622567720926,0.0029283147410358616
A11,0.0005327647999999998,0.0008055165344930529,0.0017451753493014004,0.003517134053420433,0.005720855880495559,0.0075540063872255635,0.008897614770458981,0.010978883233532863,0.012487777445109802,0.012659950099800425,0.011745585828343338,0.010515290329000351,0.008789953789292544,0.006066373253493025,0.004019601137236886,0.0031502649402390527
A12,0.0006137431999999998,0.000870087112375051,0.0017699167664670691,0.003528450844535107,0.005704378908487127,0.007433859281437139,0.008680617764470962,0.010599073852295337,0.012049348303393232,0.012294002994012,0.01142918163672657,0.010285437691350582,0.008600631479598247,0.005892959081836346,0.00383397764948034,0.0029407968127490077
A13,0.0005692653999999998,0.0008378102629215105,0.0017121426147704618,0.003362182010575454,0.00545427863650442,0.007202812375249516,0.008492879241516876,0.010483558882235459,0.011966973053892237,0.012197508982035948,0.011367393213572871,0.01023745976723478,0.008585937636670711,0.005931040918163676,0.0039025010941838856,0.003027330677290852
A14,0.0004153360000000002,0.0006843015294805002,0.001505101796407188,0.0030189837652319753,0.004976638186658856,0.006695836926147718,0.007979816367265379,0.00991700339321351,0.011440698602794435,0.011685642714570878,0.010833461077844324,0.009752049100117462,0.008121731314111043,0.0055549890219561,0.0037223333907946965,0.002955874501992039
A15,0.0005324024000000003,0.0008634808999431721,0.001903341916167668,0.003742800017307245,0.005993973394827932,0.007810675249501011,0.009007198203592718,0.010920210578842245,0.012402023952095834,0.012519262475049923,0.011544598802395226,0.010365072079234157,0.008628421504260207,0.005895668662674665,0.0039013995909782523,0.003058665338645417
A16,0.0005171250000000002,0.0008164035408204581,0.0017593268463073886,0.003462004643502607,0.0055670438159070535,0.007258843712574864,0.008370017964071767,0.010158071856287358,0.011494542914171676,0.011540467065868285,0.010624542914171677,0.009469673886321285,0.0077952405352412005,0.005311019960079842,0.0035674226407464912,0.0028392430278884485
A17,0.00042476559999999957,0.0006177893770213825,0.0010598248502994034,0.0016882572982027965,0.0025121829733260777,0.0033154310379241566,0.004065831037924104,0.005537079441117736,0.007263999001996023,0.008666380239520974,0.009367153692614788,0.009596694859412058,0.008799241813456007,0.006610214570858294,0.004637346583346406,0.003770171314741044
A18,0.00048717,0.0007270513063184327,0.001276698802395212,0.002023736392178283,0.002861472807459609,0.0035639670658682695,0.004185792015968016,0.005477654191616737,0.006844297405189631,0.007764803393213586,0.00813044211576848,0.008090311379315304,0.007134199626796355,0.005171119760479046,0.0036118610940643198,0.002937350597609577
A19,0.0004810059999999998,0.0007239992283285582,0.0012697761477045932,0.001996058464483223,0.0028607409875489806,0.003606660978043918,0.004224679640718515,0.005489769461077812,0.006864815369261491,0.007795678642714585,0.008026419161676658,0.007902624764792109,0.006965069306278559,0.005006742514970065,0.0034827519368043625,0.0028245000000000106
A20,0.0005333973999999998,0.0007386279006370883,0.0012069659680638745,0.0019346696153108374,0.002823385091451466,0.0035423917165668724,0.004234573253492966,0.005571405688622724,0.006947141716566879,0.007960537924151712,0.008283936127744522,0.008265629155850149,0.007582458035553276,0.005700523952095821,0.003964700546276505,0.0031906055776892497
A21,0.0004573718000000001,0.0006264509525839438,0.0009766028942115787,0.0015619237411339168,0.0023104585396687164,0.0029412794411177706,0.0036890225548901756,0.0050917594810378965,0.006666771856287437,0.008034499001996024,0.008708465069860297,0.008973642300394227,0.008462696160705559,0.006554497005988032,0.004617651590171495,0.003751015936254997
A22,0.0005141503999999998,0.0007003901578469442,0.001109855089820361,0.0017390898631524177,0.002475839042117167,0.0030334540918163736,0.003596435628742474,0.004657911177644683,0.005733019960079851,0.006526657684630746,0.006797630738522967,0.006808891913699083,0.006291669615039651,0.004803222554890227,0.0033938591816537814,0.0027703585657370636
